YearsExperience,Education,JobRole,OrgSize,Location,Salary,CompFreq,Currency,LanguageHaveWorkedWith,Age,Gender
0,High School,Front-end Developer,100 to 499 employees,Vietnam,"18,400,000",Monthly,VND,CoffeeScript; JavaScript; Rust,22,Male
7,Bachelor,Front-end Developer,"1,000 to 4,999 employees",Vietnam,"23,000,000",Monthly,VND,C#,29,Male
2,Bachelor,Mobile Developer,10 to 19 employees,Vietnam,"27,600,000",Monthly,VND,C++; Objective-C; Swift,24,Other
10,Bachelor,DevOps,10 to 19 employees,Vietnam,"76,666,667",Monthly,VND,,32,Other
12,Bachelor,Data Scientist,20 to 99 employees,Vietnam,"34,500,000",Monthly,VND,Clojure; Java; JavaScript; Python; Scala; SQL,34,Male
4,Bachelor,Front-end Developer,20 to 99 employees,Vietnam,"69,000,000",Monthly,VND,JavaScript; Ruby,26,Male
2,High School,Front-end Developer,100 to 499 employees,Vietnam,"23,000,000",Monthly,VND,C; C#; Java; JavaScript,24,Male
4,Bachelor,Front-end Developer,20 to 99 employees,Vietnam,"14,950,000",Monthly,VND,JavaScript; PHP; SQL,26,Female
14,Bachelor,Full-stack Developer,20 to 99 employees,Viet Nam,"30,000,000",Monthly,VND,Java;JavaScript,39,Male
5,Bachelor,Mobile Developer,100 to 499 employees,Viet Nam,"17,000,000",Monthly,VND,Java;Objective-C,27,Other
3,Bachelor,Data Scientist,"1,000 to 4,999 employees",Viet Nam,"21,000,000",Monthly,VND,C;C++;Java;JavaScript;Python;Ruby;HTML;CSS,22,Male
8,Master,Mobile Developer,20 to 99 employees,Viet Nam,"138,000,000",Monthly,VND,Java;JavaScript;Swift;HTML;CSS,30,Male
4,High School,Back-end Developer,100 to 499 employees,Viet Nam,"29,900,000",Monthly,VND,Go;JavaScript;Python;Ruby;Scala;Bash/Shell,19,Male
7,Bachelor,Front-end Developer,20 to 99 employees,Viet Nam,"39,100,000",Monthly,VND,C++;Java,29,Male
3,Master,Embedded Engineer,20 to 99 employees,Viet Nam,"18,500,000",Monthly,VND,C;Bash/Shell,31,Male
7,Bachelor,Back-end Developer,20 to 99 employees,Viet Nam,"13,800,000",Monthly,VND,CoffeeScript;JavaScript;Ruby;SQL;Cobol;HTML;CSS,26,Male
2,Bachelor,Front-end Developer,"10,000 or more employees",Viet Nam,"18,000,000",Monthly,VND,C#;JavaScript;HTML;CSS,33,Male
7,High School,Front-end Developer,10 to 19 employees,Viet Nam,"13,000,000",Monthly,VND,JavaScript;PHP;TypeScript;HTML;CSS;Bash/Shell,27,Male
8,High School,Back-end Developer,10 to 19 employees,Viet Nam,"24,083,333",Monthly,VND,C#;JavaScript;SQL;TypeScript;HTML;CSS,30,Male
1,Bachelor,Data Scientist,10 to 19 employees,Viet Nam,"13,800,000",Monthly,VND,PHP;Python;Ruby;HTML,28,Male
2,Bachelor,Back-end Developer,20 to 99 employees,Viet Nam,"16,500,000",Monthly,VND,Java;JavaScript;PHP;Python;SQL;HTML;CSS,23,Male
8,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,"21,083,333",Monthly,VND,CoffeeScript;Go;Ruby;Swift,29,Male
5,Bachelor,Back-end Developer,"10,000 or more employees",Viet Nam,"25,000,000",Monthly,VND,JavaScript;HTML;CSS,33,Male
3,High School,Back-end Developer,"1,000 to 4,999 employees",Viet Nam,"16,900,000",Monthly,VND,C++;Java;JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell,23,Male
3,Bachelor,Mobile Developer,"10,000 or more employees",Viet Nam,"20,000,000",Monthly,VND,Java;SQL;Swift;Kotlin,30,Male
5,Bachelor,Front-end Developer,10 to 19 employees,Viet Nam,"14,490,000",Monthly,VND,Java;JavaScript;SQL;Kotlin,26,Male
