YearsExperience,Education,JobRole,OrgSize,Location,Salary,CompFreq,Currency,LanguageHaveWorkedWith,Age,Gender
0.0,High School,Front-end Developer,100 to 499 employees,Vietnam,18400000,Monthly,VND,CoffeeScript; JavaScript; Rust,22,Male
7.0,Bachelor,Front-end Developer,"1,000 to 4,999 employees",Vietnam,23000000,Monthly,VND,C#,29,Male
2.0,Bachelor,Mobile Developer,10 to 19 employees,Vietnam,27600000,Monthly,VND,C++; Objective-C; Swift,24,Other
10.0,Bachelor,DevOps,10 to 19 employees,Vietnam,76666667,Monthly,VND,None,32,Other
12.0,Bachelor,Data Scientist,20 to 99 employees,Vietnam,34500000,Monthly,VND,Clojure; Java; JavaScript; Python; Scala; SQL,34,Male
4.0,Bachelor,Front-end Developer,20 to 99 employees,Vietnam,69000000,Monthly,VND,JavaScript; Ruby,26,Male
2.0,High School,Front-end Developer,100 to 499 employees,Vietnam,23000000,Monthly,VND,C; C#; Java; JavaScript,24,Male
4.0,Bachelor,Front-end Developer,20 to 99 employees,Vietnam,14950000,Monthly,VND,JavaScript; PHP; SQL,26,Female
14.0,Bachelor,Full-stack Developer,20 to 99 employees,Viet Nam,30000000,Monthly,VND,Java;JavaScript,39,Male
5.0,Bachelor,Mobile Developer,100 to 499 employees,Viet Nam,17000000,Monthly,VND,Java;Objective-C,27,Other
3.0,Bachelor,Data Scientist,"1,000 to 4,999 employees",Viet Nam,21000000,Monthly,VND,C;C++;Java;JavaScript;Python;Ruby;HTML;CSS,22,Male
7.0,Bachelor,Front-end Developer,20 to 99 employees,Viet Nam,39100000,Monthly,VND,C++;Java,29,Male
3.0,Master,Embedded Engineer,20 to 99 employees,Viet Nam,18500000,Monthly,VND,C;Bash/Shell,31,Male
7.0,Bachelor,Back-end Developer,20 to 99 employees,Viet Nam,13800000,Monthly,VND,CoffeeScript;JavaScript;Ruby;SQL;Cobol;HTML;CSS,26,Male
2.0,Bachelor,Front-end Developer,"10,000 or more employees",Viet Nam,18000000,Monthly,VND,C#;JavaScript;HTML;CSS,33,Male
7.0,High School,Front-end Developer,10 to 19 employees,Viet Nam,13000000,Monthly,VND,JavaScript;PHP;TypeScript;HTML;CSS;Bash/Shell,27,Male
8.0,High School,Back-end Developer,10 to 19 employees,Viet Nam,24083333,Monthly,VND,C#;JavaScript;SQL;TypeScript;HTML;CSS,30,Male
1.0,Bachelor,Data Scientist,10 to 19 employees,Viet Nam,13800000,Monthly,VND,PHP;Python;Ruby;HTML,28,Male
2.0,Bachelor,Back-end Developer,20 to 99 employees,Viet Nam,16500000,Monthly,VND,Java;JavaScript;PHP;Python;SQL;HTML;CSS,23,Male
8.0,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,21083333,Monthly,VND,CoffeeScript;Go;Ruby;Swift,29,Male
5.0,Bachelor,Back-end Developer,"10,000 or more employees",Viet Nam,25000000,Monthly,VND,JavaScript;HTML;CSS,33,Male
3.0,High School,Back-end Developer,"1,000 to 4,999 employees",Viet Nam,16900000,Monthly,VND,C++;Java;JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell,23,Male
3.0,Bachelor,Mobile Developer,"10,000 or more employees",Viet Nam,20000000,Monthly,VND,Java;SQL;Swift;Kotlin,30,Male
5.0,Bachelor,Front-end Developer,10 to 19 employees,Viet Nam,14490000,Monthly,VND,Java;JavaScript;SQL;Kotlin,26,Male
15.0,Master,Back-end Developer,500 to 999 employees,Viet Nam,46000000,Monthly,VND,Python,40,Male
6.0,Bachelor,Full-stack Developer,"1,000 to 4,999 employees",Viet Nam,18000000,Monthly,VND,Java;JavaScript;SQL;HTML;CSS,38,Male
14.0,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,34500000,Monthly,VND,Java;JavaScript;PHP;HTML;CSS,40,Male
8.0,Bachelor,Back-end Developer,500 to 999 employees,Viet Nam,57500000,Monthly,VND,Go;Objective-C;Python;Swift,29,Male
6.0,Bachelor,Back-end Developer,"1,000 to 4,999 employees",Viet Nam,40000000,Monthly,VND,CoffeeScript;Java;JavaScript;Ruby;SQL,33,Male
12.0,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,48000000,Monthly,VND,Java;JavaScript;Ruby;SQL;HTML,30,Male
6.0,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,13800000,Monthly,VND,C#;Java;JavaScript;Objective-C;Swift;Kotlin;HTML,30,Male
6.0,Bachelor,Front-end Developer,"1,000 to 4,999 employees",Viet Nam,17250000,Monthly,VND,JavaScript;PHP;Python;HTML;CSS;Bash/Shell,34,Male
8.0,Bachelor,Back-end Developer,"1,000 to 4,999 employees",Viet Nam,15000000,Monthly,VND,C#;JavaScript,26,Male
9.0,Bachelor,Mobile Developer,100 to 499 employees,Viet Nam,40000000,Monthly,VND,C#;JavaScript;SQL;HTML;CSS,31,Male
7.0,Bachelor,Mobile Developer,100 to 499 employees,Viet Nam,14000000,Monthly,VND,C#;Java;SQL,29,Other
